a52dec 0.8.0-2
abseil-cpp 20230802.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adw-gtk3-git 5.2.r4.12f50a2-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alsa-card-profiles 1:1.0.4-1
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
ani-cli 4.8-2
ansible 9.3.0-1
ansible-core 2.16.4-2
aom 3.8.2-1
appstream 1.0.2-1
appstream-glib 0.8.2-4
appstream-qt 1.0.2-1
appstream-qt5 1.0.2-1
archlinux-keyring 20240313-1
argon2 20190702-5
aria2 1.37.0-1
aribb24 1.0.3-3
at-spi2-core 2.50.2-1
atkmm 2.28.4-1
attica 6.0.0-1
attica5 5.115.0-1
attr 2.5.2-1
audit 4.0.1-2
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
ayatana-ido 0.10.1-1
base 3-2
base-devel 1-1
bash 5.2.026-2
binutils 2.42-2
bison 3.8.2-6
blas 3.12.0-3
blueberry 1.4.8-1
blueprint-compiler 0.10.0-1
bluez 5.73-4
bluez-libs 5.73-4
bluez-tools 0.2.0-5
boost-libs 1.83.0-5
breeze 6.0.2-3
breeze-icons 6.0.0-1
breeze5 6.0.2-3
brightnessctl 0.5.1-2
brotli 1.1.0-1
btrfs-progs 6.7.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-6
c-ares 1.27.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.99-1
ca-certificates-utils 20220905-1
cairo 1.18.0-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cbindgen 0.26.0-1
cblas 3.12.0-3
cdparanoia 10.2-9
check 0.15.2-2
chromium 123.0.6312.58-1
chrono-date 3.0.1-3
cifs-utils 7.0-3
clang 17.0.6-1
cliphist 1:0.5.0-1
cmake 3.28.4-1
colord 1.4.7-2
colord-gtk 0.3.0-2
colord-gtk-common 0.3.0-2
compiler-rt 17.0.6-1
convertlit 1.8-11
coreutils 9.4-3
cppdap 1.58.0-1
cryptsetup 2.7.1-1
curl 8.6.0-3
darktable 2:4.6.1-2
dav1d 1.4.1-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-python 1.3.2-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
dialog 1:1.3_20240101-1
diffutils 3.10-1
discount 3.0.0.d-1
djvulibre 3.5.28-5
dnssec-anchors 20190629-3
dotnet-host 8.0.3.sdk103-1
dotnet-runtime-6.0 6.0.28.sdk128-1
double-conversion 3.3.0-1
duktape 2.7.0-6
dunst 1.10.0-1
e2fsprogs 1.47.0-2
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
efibootmgr 18-3
efivar 39-1
embree 4.3.1-1
enchant 2.6.5-1
etterna 0.72.3-1
etterna-debug 0.72.3-1
exiv2 0.28.2-1
exo 4.18.0-1
expat 2.6.2-1
faad2 2.11.1-1
fakeroot 1.34-1
fcft 3.1.8-1
feh 3.10.2-1
ffmpeg 2:6.1.1-6
ffmpeg4.4 4.4.4-4
fftw 3.3.10-6
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
fish 3.7.0-1
flac 1.4.3-1
flex 2.6.4-5
flickcurl 1.26-12
fmt 10.2.0-1
fontconfig 2:2.15.0-2
foot 1.16.2-2
frameworkintegration 6.0.0-1
frameworkintegration5 5.115.0-1
freeglut 3.4.0-1
freerdp 2:2.11.4-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fuzzel 1.9.2-1
fzf 0.48.0-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcr 3.41.2-1
gcr-4 4.2.1-2
gd 2.3.3-7
gdb 14.2-1
gdb-common 14.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-2
gettext 0.22.4-1
ghostscript 10.03.0-2
giflib 5.2.2-1
git 2.44.0-1
gjs 2:1.78.4-1
glib-networking 1:2.78.1-1
glib2 2.78.4-1
glibc 2.39-1
glibmm 2.66.6-1
glslang 14.0.0-2
glu 9.0.3-1
gmic 3.3.5-1
gmp 6.3.0-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnome-bluetooth-3.0 42.8-1
gnome-keyring 1:46.1-2
gnu-free-fonts 20120503-8
gnupg 2.4.5-1
gnutls 3.8.4-1
go 2:1.22.1-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
gojq 0.12.14-1
gperf 3.1-5
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.10-1
gradience-git 0.8.0.beta1.r177.g970dce28-1
graphene 1.10.8-1
graphicsmagick 1.3.42-3
graphite 1:1.3.14-3
grep 3.11-1
grim 1.4.1-1
groff 1.23.0-5
grub 2:2.12-2
gsettings-desktop-schemas 45.0-1
gsm 1.0.22-1
gsound 1.0.3-3
gspell 1.12.2-2
gssdp 1.6.3-1
gst-plugins-bad-libs 1.24.0-1
gst-plugins-base 1.24.0-1
gst-plugins-base-libs 1.24.0-1
gstreamer 1.24.0-1
gtk-layer-shell 0.8.2-1
gtk-update-icon-cache 1:4.12.5-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtk4 1:4.12.5-1
gtkmm3 3.24.9-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
guile 3.0.9-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gzip 1.13-2
harfbuzz 8.3.1-1
harfbuzz-icu 8.3.1-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
hunspell 1.7.2-1
hwdata 0.380-1
hwloc 2.10.0-1
hyphen 2.8.8-5
hyprland-git 0.34.0.r98.1ed4f1cb-1
hyprlang 0.5.0-1
hyprlock-git 0.1.0.r83.844a899-1
hyprlock-git-debug 0.1.0.r83.844a899-1
hyprpaper 0.6.0-4
hyprpicker-git 0.2.0.r2.2ef7034-1
hyprshot 1.2.3-1
iana-etc 20240222-1
icu 74.2-2
ijs 0.35-6
imagemagick 7.1.1.29-2
imake 1.0.10-1
imath 3.1.11-1
imlib2 1.12.2-2
inetutils 2.5-1
iproute2 6.8.0-1
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
iw 6.7-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.2.1-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jdk-openjdk 21.0.2.u13-3
jdk17-openjdk 17.0.10.u7-1
jq 1.7.1-1
jre17-openjdk 17.0.10.u7-1
jre17-openjdk-headless 17.0.10.u7-1
js115 115.9.0-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
kaccounts-integration 24.02.0-1
kactivities-stats5 5.115.0-1
kactivities5 5.115.0-1
kactivitymanagerd 6.0.2-3
karchive 6.0.0-1
karchive5 5.115.0-1
kauth 6.0.0-2
kauth5 5.115.0-1
kbd 2.6.4-1
kbookmarks 6.0.0-1
kbookmarks5 5.115.0-1
kcmutils 6.0.0-2
kcmutils5 5.115.0-1
kcodecs 6.0.0-1
kcodecs5 5.115.0-1
kcolorscheme 6.0.0-1
kcompletion 6.0.0-1
kcompletion5 5.115.0-1
kconfig 6.0.0-1
kconfig5 5.115.0-1
kconfigwidgets 6.0.0-1
kconfigwidgets5 5.115.0-1
kcoreaddons 6.0.0-1
kcoreaddons5 5.115.0-1
kcrash 6.0.0-1
kcrash5 5.115.0-1
kdbusaddons 6.0.0-1
kdbusaddons5 5.115.0-1
kde-cli-tools 6.0.2-3
kdeclarative 6.0.0-1
kdeclarative5 5.115.0-1
kdecoration 6.0.2-3
kded 6.0.0-1
kded5 5.115.0-1
kdesu 6.0.0-1
kdesu5 5.115.0-1
kdnssd 6.0.0-1
kdnssd5 5.115.0-1
kdsoap-qt5 2.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-2
kfilemetadata 6.0.0-2
kfilemetadata5 5.115.0-1
kglobalaccel 6.0.0-1
kglobalaccel5 5.115.0-3
kglobalacceld 6.0.2-3
kguiaddons 6.0.0-2
kguiaddons5 5.115.0-2
kholidays 1:6.0.0-1
kholidays5 1:5.115.0-1
ki18n 6.0.0-1
ki18n5 5.115.1-1
kiconthemes 6.0.0-1
kiconthemes5 5.115.0-1
kidletime 6.0.0-1
kidletime5 5.115.0-1
kio 6.0.0-2
kio-extras 24.02.0-1
kio-fuse 5.1.0-3
kio5 5.115.0-3
kirigami 6.0.0-2
kirigami-addons 1.0.1-1
kirigami2 5.115.0-1
kitemmodels 6.0.0-1
kitemmodels5 5.115.0-1
kitemviews 6.0.0-1
kitemviews5 5.115.0-1
kitty 0.33.0-1
kitty-shell-integration 0.33.0-1
kitty-terminfo 0.33.0-1
kjobwidgets 6.0.0-1
kjobwidgets5 5.115.0-1
kmod 32-1
